"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","T_4","ASIC_4_Status","ASIC_4","Fan_1","Fan_2"
"2018-06-18 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 23:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 01:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 01:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 02:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 02:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 03:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 04:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 05:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 06:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 06:30:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 07:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 07:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 08:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 08:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 10:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 10:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 11:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 11:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 12:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 12:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 13:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 13:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 14:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 15:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 15:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 16:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 17:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 17:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 18:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 18:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 19:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 19:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 20:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 20:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 21:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 21:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 23:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 01:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 01:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 02:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 02:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 03:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 04:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 05:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 06:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 06:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 07:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 07:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 08:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 08:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 10:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 10:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 11:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 11:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 12:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 12:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 13:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 13:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 14:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 15:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 15:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 16:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 17:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 17:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 18:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 18:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 19:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 19:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 20:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 20:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 21:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 21:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 22:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 23:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 00:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 01:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 01:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 02:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 02:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 03:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 04:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 04:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 05:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 06:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 06:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 07:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 07:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 08:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 08:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 10:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 10:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 11:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 11:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 12:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 12:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 13:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 13:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 14:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 15:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 15:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 16:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 17:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 17:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 18:00:16","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 18:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 19:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 19:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 20:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 20:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 21:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 21:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 23:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 01:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 01:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 02:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 02:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 03:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 04:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 05:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 05:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 06:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 06:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 07:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 07:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 08:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 08:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 10:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 10:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 11:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 11:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 12:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 12:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 13:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
